SIT_CONVENIO,NR_CONVENIO,DIA_INIC_VIGENC_CONV,DIA_FIM_VIGENC_CONV,DIA_LIMITE_PREST_CONTAS,ID_PROPOSTA,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_INGRESSO_CONTRAPARTIDA,UF_PROPONENTE,MUNIC_PROPONENTE,OBJETO_PROPOSTA,funcao.imputada,TX_STATUS
Aguardando Prestação de Contas,730700,20/01/2010,20/06/2012,20/06/2012,156324,102500.0,97500.0,5e3,0.0,NA,NA,NA,PB,CAMPINA GRANDE,"1ª Etapa da Construção do Palco Fixo do Parque do Povo, na Cidade de Campína Grande - pb.",Comércio e Serviços,"Concluída, segundo a prefeitura"
Aguardando Prestação de Contas,765915,31/12/2011,01/06/2017,31/07/2017,528802,1549048.77,1462500.0,86548.77,1462500.0,161898.75,NA,8500.0,PB,CAMPINA GRANDE,"Construção, Ampliação, Reforma e Modernização de Equipamentos Esportivos do Município de Campina Grande - pb",Desporto e Lazer,"Concluída, segundo a prefeitura"
Em execução,787289,02/12/2013,29/01/2017,30/03/2017,740150,15e5,1425e3,75e3,1425e3,1425e3,NA,15e4,PB,CAMPINA GRANDE,Reforma de Unidade do Complexo Industrial e Produtivo da Saúde,Saúde,Em andamento
Em execução,768469,31/12/2011,31/12/2016,01/03/2017,467396,2e5,192e3,8e3,192e3,96e3,NA,8e3,PB,CAMPINA GRANDE,Reforma de Unidade de Atenção Especializada em Saúde.,Saúde,Em andamento
Em execução,774164,10/12/2012,09/12/2016,07/02/2017,501548,108e4,1e6,8e4,1e6,949e3,NA,8e4,PB,CAMPINA GRANDE,"Organizar em Associações e Cooperativas de Catadores/as de Materiais Recicláveis, Aqueles que Trabalham nos Lixões e Ruas Da
cidade de João Pessoa, Capacitando-os e Oferecendo-lhes Melhores Condições de Trabalho.
mobilizar os Catadores que Trabalham nas Ruas de João Pessoa com Vistas a Profissionaliza-los e Inseri-los nos Diversos Galpões
existentes na Cidade.
retirar os Catadores que Trabalham nos Lixões e Incluí-los em Sistema de Cooperativismo.
orienta-los Sobre a Importância de se Trabalhar em Associações e Cooperativas Visando à Superação da Exploração do Seu
trabalho.
inserir os Catadores nos Diversos Programas Sociais Como: Projetos de Alfabetização (ex: Brasil Alfabetizar), Programas De
economia Solidária, Programas de Alimentação (ex: Mesa Brasil) Etc.",Trabalho,Em andamento
Em execução,778689,27/12/2012,24/10/2016,23/12/2016,654638,1010101.1,1e6,10101.1,1e6,5e5,NA,5050.55,PB,CAMPINA GRANDE,Este Convênio tem por Objeto a Construção de um Ambiente Adequado Para Abrigar o Acervo Bibliotecário Existente.,Educação,Em andamento
Em execução,790397,20/12/2013,31/12/2016,01/03/2017,760350,513645.83,493100.0,20545.83,493100.0,246550.0,NA,2386.23,PB,CAMPINA GRANDE,Implantação de Pavimentação em Paralelepípedo em Ruas da Cidade de Campina Grande - pb.,Urbanismo,Em andamento
Em execução,780723,15/01/2013,30/12/2016,28/02/2017,608036,1206177.26,987600.0,218577.26,987600.0,497544.98,NA,1e5,PB,CAMPINA GRANDE,Implantação de Pavimentação em Ruas do Bairro do Jardim Paulistano.,Urbanismo,Em andamento
Em execução,769376,07/07/2012,04/11/2016,03/01/2017,554430,519137.38,513637.38,5500.0,513637.38,513637.38,NA,NA,PB,CAMPINA GRANDE,"o Programa tem por Objeto Populações em Risco Social, das Variadas Faixas Etárias, do Município de Campina Grande pb e Nova Palmeira  pb, que Estejam a Margem dos Serviços Públicos Essenciais de Educação, Políticas Para a Terceira Idade, Saúde, Geração de Renda, Arte e Combate as Drogas. as Ações Voltam-se, de Modo Interdisciplinar Para a Busca por Melhoria da Qualidade de Vida das Populações Atendidas, de Modo a Contemplar um Processo Educacional que Possibilite a Emancipação Humana a Partir de Processos de Autogestão.
acerca dos Idosos nos Voltaremos Para o Desenvolvimento das Atividades do Programa Universidade Aberta no Tempo Livre, por Meio do Qual se Busca que os Idosos Envolvidos Possam Melhorar e Transferir Para o Cotidiano, Novos Conhecimentos, Integrando-os à Vida Diária, e Ainda, Proporcionar Melhor Qualidade de Vida aos Envolvidos.
no Tocante ao Combate às Drogas, Será Implantado o Projeto Consultoria de rua Escola, Como uma Proposta Piloto no Município de Campina Grande  pb. Essa Proposta tem Como Objetivo Inserir Profissionais e Alunos de Graduação Para Intervirem nas Causas e Efeitos do Consumo Prejudicial de Crack, Álcool e Outras Drogas. as Intervenções Serão Realizadas com Crianças, Adolescentes e Adultos em Situação de Vulnerabilidade Social e que têm Dificuldades de Aderir ao Modelo Tradicional dos Serviços de Saúde. com Isso Busca-se Realizar uma Interferência Qualitativa no Combate à Problemática que se Alastra na Sociedade de Forma Avassaladora. Portanto, o Trabalho se Dará sob a Ótica da Necessidade de Contemplar Estudos, Experiências e Práticas na Área de Dependência Química, Prática Esta que Somente Poderá ser Originada no Âmbito Acadêmico Para que Posteriormente Profissionais Possam de Fato Inserir-se Nessa Problemática.
no que se Refere a Problemática Educacional, nos Voltaremos Para Jovens e Adultos a Serem Inseridos num Processo Educativo-popular por Meio da Alfabetização e Arte, com Vistas a Diminuir o Índice de Analfabetismo no Estado da Paraíba.
nesse Contexto, as Atividades Serão Ainda Complementadas por Cursos que se Voltem Para o Empreendedorismo das Populações Atendidas, Ação que Compreenderá a Geração de Renda sob a Perspectiva da Cooperativa.",Educação,Em andamento
Em execução,779740,31/12/2012,16/12/2016,14/02/2017,653806,6122448.98,5816326.0,306122.98,5816326.0,NA,NA,NA,PB,CAMPINA GRANDE,"Construção de uma Pista de Atletismo Oficial em Piso Sintético com 08 Raias – Área Total Estimada de 6.300,00m²; Áreas de Salto em Altura; Salto em Distância, Salto Triplo, Lançamento de Martelo, Lançamento de Disco, Lançamento de Dardo, Arremesso de Peso.",Desporto e Lazer,Em andamento
